State,Date,Solar,Wind,Small hydro,Bioenergy
India (total),2019-03,28225.72,35625.965,4593.15,9918.95
India (total),2019-04,28724.22,35815.88,4594.15,9946.95
India (total),2019-05,29454.26,36089.12,4603.75,9946.95
India (total),2019-06,29594.32,36368.47,4604.8,9946.95
India (total),2019-07,30116.39,36686.82,4604.8,9946.95
India (total),2019-08,30753.86,36750.42,4608.805,9948.45
India (total),2019-09,31247.565,36920.22,4627.955,9948.45
India (total),2019-10,31741.27,37090.02,4647.105,9948.45
India (total),2019-11,32758.42,37297.6,4659.33,9975.95
India (total),2019-12,33775.57,37505.18,4671.555,10003.45
India (total),2020-01,34080.67,37607.7,4676.555,10003.45
India (total),2020-02,34450.68,37669.25,4683.155,10003.45
India (total),2020-03,34672.83,37693.75,4683.155,10024.95
India (total),2020-04,34816.6,37725.05,4683.155,10028.05
India (total),2020-05,34960.37,37756.35,4683.155,10031.15
India (total),2020-06,35167.34,37829.55,4688.155,10031.15
India (total),2020-07,35475.85,37914.55,4714.06,10172.855
India (total),2020-08,35784.36,37999.55,4739.965,10314.56
India (total),2020-09,36095.75,38124.15,4739.965,10314.56
India (total),2020-10,36362.58,38263.05,4740.465,10314.56
India (total),2020-11,36955.54,38433.55,4740.465,10314.56
India (total),2020-12,37509.65,38624.15,4750.455,10314.56
India (total),2021-01,38839.08,38683.65,4758.455,10314.56
India (total),2021-02,39128.72,38789.15,4783.055,10314.56
India (total),2021-03,40130.38,39247.05,4786.805,10314.56
India (total),2021-04,40631.51,39344.65,4786.805,10327.06
India (total),2021-05,41132.64,39442.25,4786.805,10339.56
India (total),2021-06,42536.38,39515.55,4790.705,10449.35
India (total),2021-07,43940.12,39588.85,4794.605,10559.14
India (total),2021-08,45611.91,39691.15,4807.805,10572.45
India (total),2021-09,46275.14,39870.45,4809.805,10577.45
India (total),2021-10,47665.89,39990.1,4821.805,10577.45
India (total),2021-11,48556.64,40033.6,4831.35,10609.72
India (total),2021-12,49430.11,40067.265,4835.625,10609.72
India (total),2022-01,50303.58,40100.93,4839.9,10609.72
India (total),2022-02,50777.77,40129.78,4839.9,10627.18
India (total),2022-03,53996.54,40357.58,4848.9,10682.36
India (total),2022-04,55337.66,40528.08,4850.9,10682.36
India (total),2022-05,56951.33,40706.38,4886.4,10682.36
India (total),2022-06,57705.72,40788.03,4887.9,10682.36
India (total),2022-07,57973.8,40893.33,4887.9,10682.36
India (total),2022-08,59302.7,41204.68,4887.9,10682.36
India (total),2022-09,60813.93,41666.08,4899.5,10700.84
India (total),2022-10,60813.93,41666.08,4899.5,10700.84
India (total),2022-11,61966.4,41895.28,4924.65,10725.84
India (total),2022-12,63302.52,41895.28,4924.65,10725.84
Andaman & Nicobar,2019-03,11.73,0,5.25,0
Andhra Pradesh,2019-03,3085.68,4090.45,162.11,500.34
Arunachal Pradesh,2019-03,5.39,0,131.105,0
Assam,2019-03,22.4,0,34.11,2
Bihar,2019-03,142.45,0,70.7,121.2
Chandigarh,2019-03,34.71,0,0,0
Chhatisgarh,2019-03,231.35,0,76,230.5
Dadar & Nagar Haveli,2019-03,5.46,0,0,0
Daman & Diu,2019-03,14.47,0,0,0
Delhi,2019-03,126.89,0,0,52
Goa,2019-03,3.92,0,0.05,0.34
Gujarat,2019-03,2440.13,6073.07,61.3,77.3
Haryana,2019-03,224.52,0,73.5,205.66
Himachal Pradesh,2019-03,22.68,0,860.61,7.2
Jammu & Kashmir,2019-03,14.83,0,179.03,0
Jharkhand,2019-03,34.95,0,4.05,4.3
Karnataka,2019-03,6095.56,4694.9,1254.73,1799.8
Kerala,2019-03,138.59,52.5,222.02,0.72
Lakshwadeep,2019-03,0.75,0,0,0
Madhya Pradesh,2019-03,1840.16,2519.89,95.91,120.75
Maharashtra,2019-03,1633.54,4794.13,375.57,2528.69
Manipur,2019-03,3.44,0,5.45,0
Meghalaya,2019-03,0.12,0,32.53,13.8
Mizoram,2019-03,0.5,0,36.47,0
Nagaland,2019-03,1,0,30.67,0
Odisha,2019-03,394.73,0,64.625,59.22
Others,2019-03,45.01,4.3,0,0
