Sl. No.,state,"Wind Power
@ 100m",Small Hydro Power,Biomass Power,Cogeneration-bagasse,Waste to Energy*,Solar Energy,Total
30,Andaman & Nicobar,8,7,,-,-,-,15
1,Andhra Pradesh,44229,409,578,300,123,38440,84079
2,Arunachal Pradesh,-,2065,8,-,-,8650,10723
3,Assam,-,202,212,-,8,13760,14182
4,Bihar,-,527,619,300,73,11200,12719
31,Chandigarh,-,-,-,-,6,-,6
5,Chhattisgarh,77,1098,236,-,24,18270,19705
32,Dadra and Nagar Haveli and Dam,-,-,-,-,-,-,0
34,Delhi,-,-,-,-,131,2050,2181
6,Goa,1,5,26,-,-,880,911
7,Gujarat,84431,202,1221,350,112,35770,122086
8,Haryana,-,107,1333,350,24,4560,6374
9,Himachal Pradesh,-,3460,142,-,2,33840,37444
10,Jammu and Kashmir,-,1707,43,-,-,111050,112800
11,Jharkhand,-,228,90,-,10,18180,18508
12,Karnataka,55857,3726,1131,450,-,24700,85864
13,Kerala,1700,647,1044,-,36,6110,9538
35,Lakshadweep,8,-,-,-,-,-,8
14,Madhya Pradesh,10484,820,1364,-,78,61660,74406
15,Maharashtra,45394,786,1887,1250,287,64320,113925
16,Manipur,-,100,13,-,2,10630,10745
17,Meghalaya,-,230,11,-,2,5860,6103
18,Mizoram,-,169,1,-,2,9090,9261
19,Nagaland,-,182,10,-,-,7290,7482
20,Odisha,3093,286,246,-,22,25780,29428
36,Puducherry,153,-,-,-,3,-,156
21,Punjab,-,578,3172,300,45,2810,6905
22,Rajasthan,18770,52,1039,-,62,142310,162233
23,Sikkim,-,267,2,-,-,4940,5209
24,Tamil Nadu,33800,604,1070,450,151,17670,53745
25,Telangana,4244,102,,-,-,20410,24756
26,Tripura,-,47,3,-,2,2080,2131
27,Uttar Pradesh,-,461,1617,1250,176,22830,26333
28,Uttarakhand,-,1664,24,-,5,16800,18493
29,West Bengal,2,392,396,-,148,6260,7198
37,Ladakh,-,1707,43,-,-,111050,112800
